[2026-05-13T15:22:39.430+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-05-13T15:20:01.652919+00:00 [queued]>
[2026-05-13T15:22:39.595+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-05-13T15:20:01.652919+00:00 [queued]>
[2026-05-13T15:22:39.828+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-05-13T15:22:41.039+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-05-13 15:20:01.652919+00:00
[2026-05-13T15:22:41.141+0000] {standard_task_runner.py:60} INFO - Started process 1841 to run task
[2026-05-13T15:22:41.307+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'manual__2026-05-13T15:20:01.652919+00:00', '--job-id', '18', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmpki2q_2go']
[2026-05-13T15:22:41.402+0000] {standard_task_runner.py:88} INFO - Job 18: Subtask run_inegi_playwright
[2026-05-13T15:22:45.510+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-05-13T15:20:01.652919+00:00 [running]> on host ab149d976c2e
[2026-05-13T15:22:47.550+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-05-13T15:20:01.652919+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-13T15:20:01.652919+00:00'
[2026-05-13T15:22:49.416+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-05-13T15:23:54.795+0000] {docker.py:429} INFO - The page is opening...
[2026-05-13T15:24:06.730+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-05-13T15:24:09.887+0000] {docker.py:429} INFO - Total rows: 132
[2026-05-13T15:24:09.915+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-05-13T15:24:09.948+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-05-13T15:24:18.025+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-05-13T15:24:23.764+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-05-13T15:24:31.863+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-05-13T15:24:41.118+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-05-13T15:24:52.107+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-05-13T15:25:10.003+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-05-13T15:25:22.667+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-05-13T15:25:33.159+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-05-13T15:25:41.494+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-05-13T15:25:49.605+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-05-13T15:25:58.304+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-05-13T15:26:04.391+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-05-13T15:26:07.960+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-05-13T15:26:12.016+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-05-13T15:26:17.025+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-05-13T15:26:25.584+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-05-13T15:26:59.247+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-05-13T15:27:04.999+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-05-13T15:27:10.839+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-05-13T15:27:17.394+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-05-13T15:27:23.433+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-05-13T15:27:28.559+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-05-13T15:27:33.854+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-05-13T15:27:38.516+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-05-13T15:27:43.578+0000] {docker.py:429} INFO - Row 26: link found, clicking…
[2026-05-13T15:27:48.008+0000] {docker.py:429} INFO - Row 27: link found, clicking…
