[2026-05-18T15:35:29.885+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-05-18T15:35:18.461474+00:00 [queued]>
[2026-05-18T15:35:29.907+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-05-18T15:35:18.461474+00:00 [queued]>
[2026-05-18T15:35:29.909+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-05-18T15:35:29.943+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-05-18 15:35:18.461474+00:00
[2026-05-18T15:35:29.955+0000] {standard_task_runner.py:60} INFO - Started process 724 to run task
[2026-05-18T15:35:29.977+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'manual__2026-05-18T15:35:18.461474+00:00', '--job-id', '69', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmpjo73dcbs']
[2026-05-18T15:35:29.984+0000] {standard_task_runner.py:88} INFO - Job 69: Subtask run_inegi_playwright
[2026-05-18T15:35:30.198+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-05-18T15:35:18.461474+00:00 [running]> on host f39b18a112ca
[2026-05-18T15:35:30.670+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-05-18T15:35:18.461474+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-18T15:35:18.461474+00:00'
[2026-05-18T15:35:31.564+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-05-18T15:36:04.892+0000] {docker.py:429} INFO - The page is opening...
[2026-05-18T15:36:15.374+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-05-18T15:36:25.124+0000] {docker.py:429} INFO - Total rows: 132
[2026-05-18T15:36:25.160+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-05-18T15:36:25.390+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-05-18T15:36:53.680+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-05-18T15:36:56.630+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-05-18T15:37:01.292+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-05-18T15:37:03.919+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-05-18T15:37:06.596+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-05-18T15:37:09.552+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-05-18T15:37:12.179+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-05-18T15:37:14.064+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-05-18T15:37:17.524+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-05-18T15:37:23.122+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-05-18T15:37:25.412+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-05-18T15:37:30.360+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-05-18T15:37:34.722+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-05-18T15:37:37.309+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-05-18T15:37:40.569+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-05-18T15:37:42.938+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-05-18T15:37:45.628+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-05-18T15:37:48.025+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-05-18T15:37:51.996+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-05-18T15:37:54.724+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-05-18T15:37:57.142+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-05-18T15:38:00.740+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-05-18T15:38:03.857+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-05-18T15:38:07.039+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-05-18T15:38:10.567+0000] {docker.py:429} INFO - Row 26: link found, clicking…
[2026-05-18T15:38:12.680+0000] {docker.py:429} INFO - Row 27: link found, clicking…
