[2026-05-20T08:40:41.738+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-05-20T08:40:27.129910+00:00 [queued]>
[2026-05-20T08:40:41.871+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-05-20T08:40:27.129910+00:00 [queued]>
[2026-05-20T08:40:41.914+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-05-20T08:40:42.401+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-05-20 08:40:27.129910+00:00
[2026-05-20T08:40:42.448+0000] {standard_task_runner.py:60} INFO - Started process 6657 to run task
[2026-05-20T08:40:42.508+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'manual__2026-05-20T08:40:27.129910+00:00', '--job-id', '100', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmp5cvcifd5']
[2026-05-20T08:40:42.545+0000] {standard_task_runner.py:88} INFO - Job 100: Subtask run_inegi_playwright
[2026-05-20T08:40:44.061+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-05-20T08:40:27.129910+00:00 [running]> on host f39b18a112ca
[2026-05-20T08:40:46.208+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-05-20T08:40:27.129910+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-20T08:40:27.129910+00:00'
[2026-05-20T08:40:47.185+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-05-20T08:41:30.697+0000] {docker.py:429} INFO - The page is opening...
[2026-05-20T08:41:42.945+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-05-20T08:41:45.412+0000] {docker.py:429} INFO - Total rows: 132
[2026-05-20T08:41:45.420+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-05-20T08:41:45.481+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-05-20T08:41:52.071+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-05-20T08:41:56.766+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-05-20T08:42:01.194+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-05-20T08:42:04.327+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-05-20T08:42:07.079+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-05-20T08:42:10.720+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-05-20T08:42:15.109+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-05-20T08:42:18.134+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-05-20T08:42:21.257+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-05-20T08:42:24.547+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-05-20T08:42:27.039+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-05-20T08:42:33.714+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-05-20T08:42:37.009+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-05-20T08:42:39.831+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-05-20T08:42:43.132+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-05-20T08:42:46.711+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-05-20T08:42:54.326+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-05-20T08:42:56.501+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-05-20T08:42:59.000+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-05-20T08:43:01.997+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-05-20T08:43:05.759+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-05-20T08:43:09.595+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-05-20T08:43:12.106+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-05-20T08:43:15.446+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-05-20T08:43:18.767+0000] {docker.py:429} INFO - Row 26: link found, clicking…
[2026-05-20T08:43:22.201+0000] {docker.py:429} INFO - Row 27: link found, clicking…
