[2026-05-21T12:17:06.744+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-05-21T12:16:19.107071+00:00 [queued]>
[2026-05-21T12:17:06.939+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-05-21T12:16:19.107071+00:00 [queued]>
[2026-05-21T12:17:06.964+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-05-21T12:17:07.709+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-05-21 12:16:19.107071+00:00
[2026-05-21T12:17:07.821+0000] {standard_task_runner.py:60} INFO - Started process 790 to run task
[2026-05-21T12:17:07.933+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'manual__2026-05-21T12:16:19.107071+00:00', '--job-id', '154', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmpmknhrmni']
[2026-05-21T12:17:07.977+0000] {standard_task_runner.py:88} INFO - Job 154: Subtask run_inegi_playwright
[2026-05-21T12:17:12.030+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-05-21T12:16:19.107071+00:00 [running]> on host f39b18a112ca
[2026-05-21T12:17:17.974+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-05-21T12:16:19.107071+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-21T12:16:19.107071+00:00'
[2026-05-21T12:17:18.827+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-05-21T12:19:49.842+0000] {docker.py:429} INFO - The page is opening...
[2026-05-21T12:20:04.355+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-05-21T12:20:11.883+0000] {docker.py:429} INFO - Total rows: 132
[2026-05-21T12:20:12.171+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-05-21T12:20:12.948+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-05-21T12:20:24.032+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-05-21T12:20:34.382+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-05-21T12:20:44.036+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-05-21T12:20:51.473+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-05-21T12:21:09.710+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-05-21T12:21:30.785+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-05-21T12:21:39.377+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-05-21T12:21:45.909+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-05-21T12:21:55.728+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-05-21T12:22:05.662+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-05-21T12:22:16.466+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-05-21T12:22:29.698+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-05-21T12:22:41.367+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-05-21T12:22:55.472+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-05-21T12:23:07.254+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-05-21T12:23:19.614+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-05-21T12:23:28.587+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-05-21T12:23:37.114+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-05-21T12:23:46.690+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-05-21T12:23:55.372+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-05-21T12:24:05.272+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-05-21T12:24:14.301+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-05-21T12:24:23.356+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-05-21T12:24:39.103+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-05-21T12:24:49.595+0000] {docker.py:429} INFO - Row 26: link found, clicking…
[2026-05-21T12:24:58.155+0000] {docker.py:429} INFO - Row 27: link found, clicking…
[2026-05-21T12:25:07.047+0000] {docker.py:429} INFO - Row 28: link found, clicking…
[2026-05-21T12:25:15.623+0000] {docker.py:429} INFO - Row 29: link found, clicking…
[2026-05-21T12:25:21.910+0000] {docker.py:429} INFO - Row 30: link found, clicking…
[2026-05-21T12:25:29.662+0000] {docker.py:429} INFO - Row 31: link found, clicking…
[2026-05-21T12:25:37.821+0000] {docker.py:429} INFO - Row 32: link found, clicking…
[2026-05-21T12:25:45.122+0000] {docker.py:429} INFO - Row 33: link found, clicking…
[2026-05-21T12:25:51.274+0000] {docker.py:429} INFO - Row 34: link found, clicking…
[2026-05-21T12:25:58.899+0000] {docker.py:429} INFO - Row 35: link found, clicking…
[2026-05-21T12:26:08.355+0000] {docker.py:429} INFO - Row 36: link found, clicking…
[2026-05-21T12:26:13.387+0000] {docker.py:429} INFO - Row 37: link found, clicking…
[2026-05-21T12:26:18.710+0000] {docker.py:429} INFO - Row 38: link found, clicking…
[2026-05-21T12:26:24.454+0000] {docker.py:429} INFO - Row 39: link found, clicking…
[2026-05-21T12:26:34.809+0000] {docker.py:429} INFO - Row 40: link found, clicking…
[2026-05-21T12:26:40.909+0000] {docker.py:429} INFO - Row 41: link found, clicking…
[2026-05-21T12:26:48.988+0000] {docker.py:429} INFO - Row 42: link found, clicking…
[2026-05-21T12:26:54.112+0000] {docker.py:429} INFO - Row 43: link found, clicking…
[2026-05-21T12:27:00.258+0000] {docker.py:429} INFO - Row 44: link found, clicking…
[2026-05-21T12:27:04.437+0000] {docker.py:429} INFO - Row 45: link found, clicking…
[2026-05-21T12:27:11.795+0000] {docker.py:429} INFO - Row 46: link found, clicking…
[2026-05-21T12:27:18.232+0000] {docker.py:429} INFO - Row 47: link found, clicking…
[2026-05-21T12:27:22.502+0000] {docker.py:429} INFO - Row 48: link found, clicking…
[2026-05-21T12:27:26.663+0000] {docker.py:429} INFO - Row 49: link found, clicking…
[2026-05-21T12:27:33.011+0000] {docker.py:429} INFO - Row 50: link found, clicking…
[2026-05-21T12:27:37.128+0000] {docker.py:429} INFO - Row 51: link found, clicking…
[2026-05-21T12:27:42.223+0000] {docker.py:429} INFO - Row 52: link found, clicking…
[2026-05-21T12:27:45.983+0000] {docker.py:429} INFO - Row 53: link found, clicking…
[2026-05-21T12:27:52.461+0000] {docker.py:429} INFO - Row 54: link found, clicking…
[2026-05-21T12:27:56.473+0000] {docker.py:429} INFO - Row 55: link found, clicking…
[2026-05-21T12:28:01.652+0000] {docker.py:429} INFO - Row 56: link found, clicking…
[2026-05-21T12:28:05.975+0000] {docker.py:429} INFO - Row 57: link found, clicking…
[2026-05-21T12:28:12.754+0000] {docker.py:429} INFO - Row 58: link found, clicking…
[2026-05-21T12:28:17.010+0000] {docker.py:429} INFO - Row 59: link found, clicking…
[2026-05-21T12:28:23.277+0000] {docker.py:429} INFO - Row 60: link found, clicking…
[2026-05-21T12:28:38.645+0000] {docker.py:429} INFO - Row 61: link found, clicking…
[2026-05-21T12:28:45.355+0000] {docker.py:429} INFO - Row 62: link found, clicking…
[2026-05-21T12:28:49.673+0000] {docker.py:429} INFO - Row 63: link found, clicking…
[2026-05-21T12:28:54.808+0000] {docker.py:429} INFO - Row 64: link found, clicking…
[2026-05-21T12:28:58.567+0000] {docker.py:429} INFO - Row 65: link found, clicking…
[2026-05-21T12:29:03.662+0000] {docker.py:429} INFO - Row 66: link found, clicking…
[2026-05-21T12:29:08.704+0000] {docker.py:429} INFO - Row 67: link found, clicking…
[2026-05-21T12:29:16.090+0000] {docker.py:429} INFO - Row 68: link found, clicking…
[2026-05-21T12:29:20.991+0000] {docker.py:429} INFO - Row 69: link found, clicking…
[2026-05-21T12:29:25.758+0000] {docker.py:429} INFO - Row 70: link found, clicking…
[2026-05-21T12:29:30.744+0000] {docker.py:429} INFO - Row 71: link found, clicking…
[2026-05-21T12:29:35.715+0000] {docker.py:429} INFO - Row 72: link found, clicking…
[2026-05-21T12:29:40.163+0000] {docker.py:429} INFO - Row 73: link found, clicking…
[2026-05-21T12:29:46.174+0000] {docker.py:429} INFO - Row 74: link found, clicking…
[2026-05-21T12:29:59.202+0000] {docker.py:429} INFO - Row 75: link found, clicking…
[2026-05-21T12:30:04.871+0000] {docker.py:429} INFO - Row 76: link found, clicking…
[2026-05-21T12:30:10.569+0000] {docker.py:429} INFO - Row 77: link found, clicking…
[2026-05-21T12:30:15.919+0000] {docker.py:429} INFO - Row 78: link found, clicking…
[2026-05-21T12:30:19.770+0000] {docker.py:429} INFO - Row 79: link found, clicking…
[2026-05-21T12:30:24.505+0000] {docker.py:429} INFO - Row 80: link found, clicking…
[2026-05-21T12:30:29.255+0000] {docker.py:429} INFO - Row 81: link found, clicking…
[2026-05-21T12:30:35.647+0000] {docker.py:429} INFO - Row 82: link found, clicking…
[2026-05-21T12:30:41.198+0000] {docker.py:429} INFO - Row 83: link found, clicking…
[2026-05-21T12:30:48.502+0000] {docker.py:429} INFO - Row 84: link found, clicking…
[2026-05-21T12:30:52.956+0000] {docker.py:429} INFO - Row 85: link found, clicking…
[2026-05-21T12:30:57.017+0000] {docker.py:429} INFO - Row 86: link found, clicking…
[2026-05-21T12:31:02.230+0000] {docker.py:429} INFO - Row 87: link found, clicking…
[2026-05-21T12:31:05.251+0000] {docker.py:429} INFO - Row 88: link found, clicking…
[2026-05-21T12:31:11.750+0000] {docker.py:429} INFO - Row 89: link found, clicking…
[2026-05-21T12:31:15.771+0000] {docker.py:429} INFO - Row 90: link found, clicking…
[2026-05-21T12:31:20.762+0000] {docker.py:429} INFO - Row 91: link found, clicking…
[2026-05-21T12:31:24.299+0000] {docker.py:429} INFO - Row 92: link found, clicking…
[2026-05-21T12:31:27.963+0000] {docker.py:429} INFO - Row 93: link found, clicking…
[2026-05-21T12:31:31.393+0000] {docker.py:429} INFO - Row 94: link found, clicking…
[2026-05-21T12:31:34.219+0000] {docker.py:429} INFO - Row 95: link found, clicking…
[2026-05-21T12:31:37.675+0000] {docker.py:429} INFO - Row 96: link found, clicking…
[2026-05-21T12:31:41.784+0000] {docker.py:429} INFO - Row 97: link found, clicking…
[2026-05-21T12:31:44.869+0000] {docker.py:429} INFO - Row 98: link found, clicking…
[2026-05-21T12:31:47.701+0000] {docker.py:429} INFO - Row 99: link found, clicking…
[2026-05-21T12:31:52.786+0000] {docker.py:429} INFO - Row 100: link found, clicking…
[2026-05-21T12:31:55.662+0000] {docker.py:429} INFO - Row 101: link found, clicking…
[2026-05-21T12:31:58.942+0000] {docker.py:429} INFO - Row 102: link found, clicking…
[2026-05-21T12:32:03.363+0000] {docker.py:429} INFO - Row 103: link found, clicking…
[2026-05-21T12:32:05.820+0000] {docker.py:429} INFO - Row 104: link found, clicking…
[2026-05-21T12:32:11.112+0000] {docker.py:429} INFO - Row 105: link found, clicking…
[2026-05-21T12:32:14.406+0000] {docker.py:429} INFO - Row 106: link found, clicking…
[2026-05-21T12:32:17.563+0000] {docker.py:429} INFO - Row 107: link found, clicking…
[2026-05-21T12:32:21.551+0000] {docker.py:429} INFO - Row 108: link found, clicking…
[2026-05-21T12:32:24.161+0000] {docker.py:429} INFO - Row 109: link found, clicking…
[2026-05-21T12:32:27.688+0000] {docker.py:429} INFO - Row 110: link found, clicking…
[2026-05-21T12:32:31.334+0000] {docker.py:429} INFO - Row 111: link found, clicking…
[2026-05-21T12:32:33.803+0000] {docker.py:429} INFO - Row 112: link found, clicking…
[2026-05-21T12:32:36.222+0000] {docker.py:429} INFO - Row 113: link found, clicking…
[2026-05-21T12:32:40.770+0000] {docker.py:429} INFO - Row 114: link found, clicking…
[2026-05-21T12:32:43.817+0000] {docker.py:429} INFO - Row 115: link found, clicking…
[2026-05-21T12:32:46.530+0000] {docker.py:429} INFO - Row 116: link found, clicking…
[2026-05-21T12:32:51.114+0000] {docker.py:429} INFO - Row 117: link found, clicking…
[2026-05-21T12:32:53.898+0000] {docker.py:429} INFO - Row 118: link found, clicking…
[2026-05-21T12:32:57.014+0000] {docker.py:429} INFO - Row 119: link found, clicking…
[2026-05-21T12:32:59.467+0000] {docker.py:429} INFO - Row 120: link found, clicking…
[2026-05-21T12:33:02.040+0000] {docker.py:429} INFO - Row 121: link found, clicking…
[2026-05-21T12:33:05.030+0000] {docker.py:429} INFO - Row 122: link found, clicking…
[2026-05-21T12:33:08.729+0000] {docker.py:429} INFO - Row 123: link found, clicking…
[2026-05-21T12:33:11.607+0000] {docker.py:429} INFO - Row 124: link found, clicking…
[2026-05-21T12:33:16.239+0000] {docker.py:429} INFO - Row 125: link found, clicking…
[2026-05-21T12:33:19.721+0000] {docker.py:429} INFO - Row 126: link found, clicking…
[2026-05-21T12:33:22.530+0000] {docker.py:429} INFO - Row 127: link found, clicking…
[2026-05-21T12:33:26.276+0000] {docker.py:429} INFO - Row 128: link found, clicking…
[2026-05-21T12:33:29.109+0000] {docker.py:429} INFO - Row 129: link found, clicking…
[2026-05-21T12:33:32.192+0000] {docker.py:429} INFO - Row 130: link found, clicking…
[2026-05-21T12:33:35.268+0000] {docker.py:429} INFO - Row 131: link found, clicking…
[2026-05-21T12:33:37.883+0000] {docker.py:429} INFO - 
[2026-05-21T12:33:37.887+0000] {docker.py:429} INFO - Final unique records: 75
[2026-05-21T12:33:38.686+0000] {docker.py:429} INFO - Saved → /app/data/inegi_playwright.json
ERROR: Event loop is closed! Is Playwright already stopped?
[2026-05-21T12:33:39.434+0000] {taskinstance.py:1149} INFO - Marking task as SUCCESS. dag_id=inegi_playwright, task_id=run_inegi_playwright, execution_date=20260521T121619, start_date=20260521T121706, end_date=20260521T123339
[2026-05-21T12:33:39.651+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-05-21T12:33:40.028+0000] {taskinstance.py:3309} INFO - 1 downstream tasks scheduled from follow-on schedule check
