[2026-05-27T09:20:52.315+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-05-27T08:46:34.156127+00:00 [queued]>
[2026-05-27T09:20:52.649+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-05-27T08:46:34.156127+00:00 [queued]>
[2026-05-27T09:20:52.686+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 1
[2026-05-27T09:20:53.599+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-05-27 08:46:34.156127+00:00
[2026-05-27T09:20:53.640+0000] {standard_task_runner.py:60} INFO - Started process 75 to run task
[2026-05-27T09:20:53.678+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'manual__2026-05-27T08:46:34.156127+00:00', '--job-id', '276', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmpoefhuydq']
[2026-05-27T09:20:53.699+0000] {standard_task_runner.py:88} INFO - Job 276: Subtask run_inegi_playwright
[2026-05-27T09:20:54.949+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-05-27T08:46:34.156127+00:00 [running]> on host f39b18a112ca
[2026-05-27T09:20:57.967+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-05-27T08:46:34.156127+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-27T08:46:34.156127+00:00'
[2026-05-27T09:20:58.966+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-05-27T09:21:47.900+0000] {docker.py:429} INFO - The page is opening...
[2026-05-27T09:21:56.571+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-05-27T09:22:03.781+0000] {docker.py:429} INFO - Total rows: 132
[2026-05-27T09:22:03.854+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-05-27T09:22:04.012+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-05-27T09:22:12.017+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-05-27T09:22:16.473+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-05-27T09:22:22.667+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-05-27T09:22:31.194+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-05-27T09:22:47.492+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-05-27T09:22:50.745+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-05-27T09:22:56.697+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-05-27T09:23:10.963+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-05-27T09:23:24.666+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-05-27T09:23:32.906+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-05-27T09:23:40.193+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-05-27T09:23:45.954+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-05-27T09:23:53.646+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-05-27T09:23:57.595+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-05-27T09:24:03.388+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-05-27T09:24:16.852+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-05-27T09:24:23.911+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-05-27T09:24:26.735+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-05-27T09:24:31.254+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-05-27T09:24:37.403+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-05-27T09:24:44.588+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-05-27T09:24:51.199+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-05-27T09:25:02.425+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-05-27T09:25:14.322+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-05-27T09:25:24.269+0000] {docker.py:429} INFO - Row 26: link found, clicking…
[2026-05-27T09:25:31.153+0000] {docker.py:429} INFO - Row 27: link found, clicking…
[2026-05-27T09:25:39.057+0000] {docker.py:429} INFO - Row 28: link found, clicking…
[2026-05-27T09:25:46.554+0000] {docker.py:429} INFO - Row 29: link found, clicking…
[2026-05-27T09:25:58.187+0000] {docker.py:429} INFO - Row 30: link found, clicking…
[2026-05-27T09:26:11.155+0000] {docker.py:429} INFO - Row 31: link found, clicking…
[2026-05-27T09:26:23.047+0000] {docker.py:429} INFO - Row 32: link found, clicking…
[2026-05-27T09:26:30.388+0000] {docker.py:429} INFO - Row 33: link found, clicking…
[2026-05-27T09:26:38.718+0000] {docker.py:429} INFO - Row 34: link found, clicking…
[2026-05-27T09:26:47.631+0000] {docker.py:429} INFO - Row 35: link found, clicking…
[2026-05-27T09:26:58.175+0000] {docker.py:429} INFO - Row 36: link found, clicking…
[2026-05-27T09:27:10.668+0000] {docker.py:429} INFO - Row 37: link found, clicking…
[2026-05-27T09:27:21.532+0000] {docker.py:429} INFO - Row 38: link found, clicking…
[2026-05-27T09:27:27.466+0000] {docker.py:429} INFO - Row 39: link found, clicking…
[2026-05-27T09:27:31.402+0000] {docker.py:429} INFO - Row 40: link found, clicking…
[2026-05-27T09:27:37.044+0000] {docker.py:429} INFO - Row 41: link found, clicking…
[2026-05-27T09:27:40.826+0000] {docker.py:429} INFO - Row 42: link found, clicking…
[2026-05-27T09:27:44.599+0000] {docker.py:429} INFO - Row 43: link found, clicking…
[2026-05-27T09:27:55.142+0000] {docker.py:429} INFO - Row 44: link found, clicking…
[2026-05-27T09:28:00.378+0000] {docker.py:429} INFO - Row 45: link found, clicking…
[2026-05-27T09:28:04.216+0000] {docker.py:429} INFO - Row 46: link found, clicking…
[2026-05-27T09:28:09.768+0000] {docker.py:429} INFO - Row 47: link found, clicking…
[2026-05-27T09:28:14.228+0000] {docker.py:429} INFO - Row 48: link found, clicking…
[2026-05-27T09:28:19.760+0000] {docker.py:429} INFO - Row 49: link found, clicking…
[2026-05-27T09:28:25.374+0000] {docker.py:429} INFO - Row 50: link found, clicking…
