[2026-06-11T12:17:20.822+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-06-11T12:16:32.354490+00:00 [queued]>
[2026-06-11T12:17:21.305+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-06-11T12:16:32.354490+00:00 [queued]>
[2026-06-11T12:17:21.334+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-06-11T12:17:22.957+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-06-11 12:16:32.354490+00:00
[2026-06-11T12:17:24.251+0000] {standard_task_runner.py:60} INFO - Started process 2076 to run task
[2026-06-11T12:17:30.462+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'manual__2026-06-11T12:16:32.354490+00:00', '--job-id', '457', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmp8ptaxieg']
[2026-06-11T12:17:32.791+0000] {standard_task_runner.py:88} INFO - Job 457: Subtask run_inegi_playwright
[2026-06-11T12:17:46.614+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-06-11T12:16:32.354490+00:00 [running]> on host f39b18a112ca
[2026-06-11T12:17:58.216+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-06-11T12:16:32.354490+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-06-11T12:16:32.354490+00:00'
[2026-06-11T12:18:03.003+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-06-11T12:20:03.142+0000] {docker.py:429} INFO - The page is opening...
[2026-06-11T12:20:16.397+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-06-11T12:20:22.767+0000] {docker.py:429} INFO - Total rows: 133
[2026-06-11T12:20:22.838+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-06-11T12:20:22.967+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-06-11T12:20:35.497+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-06-11T12:20:52.457+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-06-11T12:21:02.192+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-06-11T12:21:10.863+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-06-11T12:21:17.352+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-06-11T12:21:29.255+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-06-11T12:21:37.777+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-06-11T12:21:41.891+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-06-11T12:21:48.467+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-06-11T12:22:13.132+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-06-11T12:22:21.260+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-06-11T12:22:31.136+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-06-11T12:22:37.724+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-06-11T12:22:49.450+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-06-11T12:22:56.211+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-06-11T12:23:02.587+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-06-11T12:23:05.603+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-06-11T12:23:11.834+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-06-11T12:23:17.512+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-06-11T12:23:22.808+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-06-11T12:23:29.208+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-06-11T12:23:34.267+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-06-11T12:23:39.979+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-06-11T12:23:45.939+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-06-11T12:23:51.410+0000] {docker.py:429} INFO - Row 26: link found, clicking…
[2026-06-11T12:23:56.744+0000] {docker.py:429} INFO - Row 27: link found, clicking…
