[2026-06-11T12:31:04.433+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-06-11T12:16:32.354490+00:00 [queued]>
[2026-06-11T12:31:04.734+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-06-11T12:16:32.354490+00:00 [queued]>
[2026-06-11T12:31:04.775+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 1
[2026-06-11T12:31:05.288+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-06-11 12:16:32.354490+00:00
[2026-06-11T12:31:05.418+0000] {standard_task_runner.py:60} INFO - Started process 81 to run task
[2026-06-11T12:31:05.680+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'manual__2026-06-11T12:16:32.354490+00:00', '--job-id', '465', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmpsmb9p3cf']
[2026-06-11T12:31:05.736+0000] {standard_task_runner.py:88} INFO - Job 465: Subtask run_inegi_playwright
[2026-06-11T12:31:06.524+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-06-11T12:16:32.354490+00:00 [running]> on host f39b18a112ca
[2026-06-11T12:31:08.000+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-06-11T12:16:32.354490+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-06-11T12:16:32.354490+00:00'
[2026-06-11T12:31:08.355+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-06-11T12:31:58.031+0000] {docker.py:429} INFO - The page is opening...
[2026-06-11T12:32:09.273+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-06-11T12:32:15.820+0000] {docker.py:429} INFO - Total rows: 133
[2026-06-11T12:32:15.974+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-06-11T12:32:16.726+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-06-11T12:32:26.334+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-06-11T12:32:33.414+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-06-11T12:32:37.257+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-06-11T12:32:41.442+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-06-11T12:32:45.949+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-06-11T12:32:49.067+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-06-11T12:32:54.803+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-06-11T12:33:02.684+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-06-11T12:33:11.729+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-06-11T12:33:19.019+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-06-11T12:33:23.677+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-06-11T12:33:31.177+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-06-11T12:33:44.112+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-06-11T12:33:55.748+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-06-11T12:34:01.561+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-06-11T12:34:07.283+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-06-11T12:34:16.465+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-06-11T12:34:24.062+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-06-11T12:34:33.000+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-06-11T12:34:46.103+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-06-11T12:34:59.298+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-06-11T12:35:16.113+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-06-11T12:35:34.049+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-06-11T12:35:46.780+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-06-11T12:35:57.782+0000] {docker.py:429} INFO - Row 26: link found, clicking…
[2026-06-11T12:36:12.059+0000] {docker.py:429} INFO - Row 27: link found, clicking…
[2026-06-11T12:36:20.990+0000] {docker.py:429} INFO - Row 28: link found, clicking…
[2026-06-11T12:36:30.934+0000] {docker.py:429} INFO - Row 29: link found, clicking…
[2026-06-11T12:36:43.818+0000] {docker.py:429} INFO - Row 30: link found, clicking…
[2026-06-11T12:37:06.642+0000] {docker.py:429} INFO - Row 31: link found, clicking…
[2026-06-11T12:37:22.110+0000] {docker.py:429} INFO - Row 32: link found, clicking…
[2026-06-11T12:37:36.840+0000] {docker.py:429} INFO - Row 33: link found, clicking…
[2026-06-11T12:37:44.540+0000] {docker.py:429} INFO - Row 34: link found, clicking…
[2026-06-11T12:37:47.586+0000] {docker.py:429} INFO - Row 35: link found, clicking…
[2026-06-11T12:37:51.457+0000] {docker.py:429} INFO - Row 36: link found, clicking…
[2026-06-11T12:37:54.470+0000] {docker.py:429} INFO - Row 37: link found, clicking…
[2026-06-11T12:37:56.854+0000] {docker.py:429} INFO - Row 38: link found, clicking…
[2026-06-11T12:38:01.173+0000] {docker.py:429} INFO - Row 39: link found, clicking…
[2026-06-11T12:38:04.142+0000] {docker.py:429} INFO - Row 40: link found, clicking…
[2026-06-11T12:38:07.091+0000] {docker.py:429} INFO - Row 41: link found, clicking…
[2026-06-11T12:38:09.383+0000] {docker.py:429} INFO - Row 42: link found, clicking…
[2026-06-11T12:38:12.750+0000] {docker.py:429} INFO - Row 43: link found, clicking…
[2026-06-11T12:38:15.844+0000] {docker.py:429} INFO - Row 44: link found, clicking…
[2026-06-11T12:38:19.082+0000] {docker.py:429} INFO - Row 45: link found, clicking…
[2026-06-11T12:38:23.582+0000] {docker.py:429} INFO - Row 46: link found, clicking…
[2026-06-11T12:38:27.433+0000] {docker.py:429} INFO - Row 47: link found, clicking…
[2026-06-11T12:38:30.710+0000] {docker.py:429} INFO - Row 48: link found, clicking…
[2026-06-11T12:38:41.720+0000] {docker.py:429} INFO - Row 49: link found, clicking…
[2026-06-11T12:38:49.250+0000] {docker.py:429} INFO - Row 50: link found, clicking…
[2026-06-11T12:38:53.528+0000] {docker.py:429} INFO - Row 51: link found, clicking…
[2026-06-11T12:38:59.409+0000] {docker.py:429} INFO - Row 52: link found, clicking…
[2026-06-11T12:39:05.163+0000] {docker.py:429} INFO - Row 53: link found, clicking…
