[2026-06-11T12:45:51.873+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-06-11T12:45:38.496121+00:00 [queued]>
[2026-06-11T12:45:52.177+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-06-11T12:45:38.496121+00:00 [queued]>
[2026-06-11T12:45:52.241+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-06-11T12:45:54.169+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-06-11 12:45:38.496121+00:00
[2026-06-11T12:45:54.555+0000] {standard_task_runner.py:60} INFO - Started process 794 to run task
[2026-06-11T12:45:54.715+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'manual__2026-06-11T12:45:38.496121+00:00', '--job-id', '472', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmpp0t0pm6o']
[2026-06-11T12:45:54.975+0000] {standard_task_runner.py:88} INFO - Job 472: Subtask run_inegi_playwright
[2026-06-11T12:45:58.208+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-06-11T12:45:38.496121+00:00 [running]> on host f39b18a112ca
[2026-06-11T12:45:59.824+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-06-11T12:45:38.496121+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-06-11T12:45:38.496121+00:00'
[2026-06-11T12:46:01.533+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-06-11T12:46:51.621+0000] {docker.py:429} INFO - The page is opening...
[2026-06-11T12:47:14.660+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-06-11T12:47:25.381+0000] {docker.py:429} INFO - Total rows: 133
[2026-06-11T12:47:25.638+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-06-11T12:47:25.898+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-06-11T12:48:02.841+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-06-11T12:49:16.519+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-06-11T12:49:47.562+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-06-11T12:49:58.155+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-06-11T12:50:13.658+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-06-11T12:50:28.637+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-06-11T12:50:39.948+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-06-11T12:50:54.859+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-06-11T12:51:12.689+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-06-11T12:51:35.820+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-06-11T12:51:45.933+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-06-11T12:51:54.726+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-06-11T12:52:02.089+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-06-11T12:52:25.249+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-06-11T12:52:37.228+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-06-11T12:52:46.733+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-06-11T12:52:54.605+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-06-11T12:53:09.040+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-06-11T12:53:19.734+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-06-11T12:53:30.980+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-06-11T12:53:37.592+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-06-11T12:53:44.045+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-06-11T12:53:53.726+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-06-11T12:53:58.521+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-06-11T12:54:01.864+0000] {docker.py:429} INFO - Row 26: link found, clicking…
[2026-06-11T12:54:05.913+0000] {docker.py:429} INFO - Row 27: link found, clicking…
[2026-06-11T12:54:10.738+0000] {docker.py:429} INFO - Row 28: link found, clicking…
