[2026-06-12T08:27:42.504+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-06-12T08:27:29.979502+00:00 [queued]>
[2026-06-12T08:27:42.835+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-06-12T08:27:29.979502+00:00 [queued]>
[2026-06-12T08:27:42.886+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-06-12T08:27:43.160+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-06-12 08:27:29.979502+00:00
[2026-06-12T08:27:43.217+0000] {standard_task_runner.py:60} INFO - Started process 2315 to run task
[2026-06-12T08:27:43.307+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'manual__2026-06-12T08:27:29.979502+00:00', '--job-id', '550', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmptgboqiaq']
[2026-06-12T08:27:43.357+0000] {standard_task_runner.py:88} INFO - Job 550: Subtask run_inegi_playwright
[2026-06-12T08:27:43.880+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright manual__2026-06-12T08:27:29.979502+00:00 [running]> on host f39b18a112ca
[2026-06-12T08:27:44.913+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-06-12T08:27:29.979502+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-06-12T08:27:29.979502+00:00'
[2026-06-12T08:27:45.100+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-06-12T08:28:30.232+0000] {docker.py:429} INFO - The page is opening...
[2026-06-12T08:28:45.001+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-06-12T08:28:46.951+0000] {docker.py:429} INFO - Total rows: 133
[2026-06-12T08:28:47.016+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-06-12T08:28:47.321+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-06-12T08:28:51.339+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-06-12T08:28:58.698+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-06-12T08:29:08.320+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-06-12T08:29:18.533+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-06-12T08:29:31.217+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-06-12T08:29:38.678+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-06-12T08:29:51.980+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-06-12T08:30:05.631+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-06-12T08:30:11.508+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-06-12T08:30:15.785+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-06-12T08:30:24.350+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-06-12T08:30:30.276+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-06-12T08:30:42.112+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-06-12T08:30:49.129+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-06-12T08:30:53.236+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-06-12T08:30:56.155+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-06-12T08:31:01.003+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-06-12T08:31:06.274+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-06-12T08:31:15.736+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-06-12T08:31:29.233+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-06-12T08:31:36.260+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-06-12T08:31:40.683+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-06-12T08:31:43.937+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-06-12T08:31:49.056+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-06-12T08:31:54.994+0000] {docker.py:429} INFO - Row 26: link found, clicking…
[2026-06-12T08:31:59.857+0000] {docker.py:429} INFO - Row 27: link found, clicking…
[2026-06-12T08:32:05.356+0000] {docker.py:429} INFO - Row 28: link found, clicking…
[2026-06-12T08:32:10.034+0000] {docker.py:429} INFO - Row 29: link found, clicking…
[2026-06-12T08:32:13.400+0000] {docker.py:429} INFO - Row 30: link found, clicking…
[2026-06-12T08:32:19.468+0000] {docker.py:429} INFO - Row 31: link found, clicking…
[2026-06-12T08:32:32.492+0000] {docker.py:429} INFO - Row 32: link found, clicking…
[2026-06-12T08:32:39.712+0000] {docker.py:429} INFO - Row 33: link found, clicking…
[2026-06-12T08:32:45.199+0000] {docker.py:429} INFO - Row 34: link found, clicking…
[2026-06-12T08:32:49.544+0000] {docker.py:429} INFO - Row 35: link found, clicking…
[2026-06-12T08:32:54.486+0000] {docker.py:429} INFO - Row 36: link found, clicking…
[2026-06-12T08:32:59.660+0000] {docker.py:429} INFO - Row 37: link found, clicking…
[2026-06-12T08:33:10.562+0000] {docker.py:429} INFO - Row 38: link found, clicking…
[2026-06-12T08:33:19.638+0000] {docker.py:429} INFO - Row 39: link found, clicking…
[2026-06-12T08:33:23.780+0000] {docker.py:429} INFO - Row 40: link found, clicking…
[2026-06-12T08:33:28.323+0000] {docker.py:429} INFO - Row 41: link found, clicking…
[2026-06-12T08:33:32.879+0000] {docker.py:429} INFO - Row 42: link found, clicking…
[2026-06-12T08:33:36.518+0000] {docker.py:429} INFO - Row 43: link found, clicking…
[2026-06-12T08:33:40.720+0000] {docker.py:429} INFO - Row 44: link found, clicking…
[2026-06-12T08:33:46.255+0000] {docker.py:429} INFO - Row 45: link found, clicking…
[2026-06-12T08:33:55.246+0000] {docker.py:429} INFO - Row 46: link found, clicking…
[2026-06-12T08:34:00.265+0000] {docker.py:429} INFO - Row 47: link found, clicking…
[2026-06-12T08:34:03.973+0000] {docker.py:429} INFO - Row 48: link found, clicking…
[2026-06-12T08:34:07.594+0000] {docker.py:429} INFO - Row 49: link found, clicking…
[2026-06-12T08:34:13.551+0000] {docker.py:429} INFO - Row 50: link found, clicking…
[2026-06-12T08:34:19.834+0000] {docker.py:429} INFO - Row 51: link found, clicking…
[2026-06-12T08:34:24.590+0000] {docker.py:429} INFO - Row 52: link found, clicking…
[2026-06-12T08:34:30.580+0000] {docker.py:429} INFO - Row 53: link found, clicking…
[2026-06-12T08:34:34.886+0000] {docker.py:429} INFO - Row 54: link found, clicking…
[2026-06-12T08:34:39.134+0000] {docker.py:429} INFO - Row 55: link found, clicking…
[2026-06-12T08:34:44.239+0000] {docker.py:429} INFO - Row 56: link found, clicking…
[2026-06-12T08:34:52.505+0000] {docker.py:429} INFO - Row 57: link found, clicking…
[2026-06-12T08:34:59.080+0000] {docker.py:429} INFO - Row 58: link found, clicking…
[2026-06-12T08:35:04.775+0000] {docker.py:429} INFO - Row 59: link found, clicking…
