[2026-05-13T13:52:16.727+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-12T00:00:00+00:00 [queued]>
[2026-05-13T13:52:16.884+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-12T00:00:00+00:00 [queued]>
[2026-05-13T13:52:16.900+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-05-13T13:52:17.188+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-05-12 00:00:00+00:00
[2026-05-13T13:52:17.227+0000] {standard_task_runner.py:60} INFO - Started process 1113 to run task
[2026-05-13T13:52:17.285+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'scheduled__2026-05-12T00:00:00+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmpeury9dr4']
[2026-05-13T13:52:17.309+0000] {standard_task_runner.py:88} INFO - Job 3: Subtask run_inegi_playwright
[2026-05-13T13:52:19.302+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-12T00:00:00+00:00 [running]> on host e85744e68698
[2026-05-13T13:52:21.313+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-05-12T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-05-12T00:00:00+00:00'
[2026-05-13T13:52:22.241+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-05-13T13:53:30.306+0000] {docker.py:429} INFO - The page is opening...
[2026-05-13T13:53:46.386+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-05-13T13:53:52.761+0000] {docker.py:429} INFO - Total rows: 132
[2026-05-13T13:53:52.829+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-05-13T13:53:53.000+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-05-13T13:54:05.892+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-05-13T13:54:17.172+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-05-13T13:54:24.888+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-05-13T13:54:38.873+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-05-13T13:54:52.886+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-05-13T13:55:07.193+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-05-13T13:55:31.171+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-05-13T13:55:48.864+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-05-13T13:56:02.984+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-05-13T13:56:11.401+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-05-13T13:56:22.929+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-05-13T13:56:33.147+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-05-13T13:56:53.996+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-05-13T13:57:08.477+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-05-13T13:57:22.943+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-05-13T13:57:32.066+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-05-13T13:57:45.743+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-05-13T13:57:56.972+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-05-13T13:58:07.397+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-05-13T13:58:23.643+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-05-13T13:58:38.805+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-05-13T13:58:56.111+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-05-13T13:59:12.643+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-05-13T13:59:26.935+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-05-13T13:59:45.954+0000] {docker.py:429} INFO - Row 26: link found, clicking…
[2026-05-13T14:00:04.865+0000] {docker.py:429} INFO - Row 27: link found, clicking…
[2026-05-13T14:00:15.005+0000] {docker.py:429} INFO - Row 28: link found, clicking…
[2026-05-13T14:00:27.959+0000] {docker.py:429} INFO - Row 29: link found, clicking…
[2026-05-13T14:00:38.703+0000] {docker.py:429} INFO - Row 30: link found, clicking…
[2026-05-13T14:00:47.697+0000] {docker.py:429} INFO - Row 31: link found, clicking…
[2026-05-13T14:00:54.311+0000] {docker.py:429} INFO - Row 32: link found, clicking…
[2026-05-13T14:01:01.510+0000] {docker.py:429} INFO - Row 33: link found, clicking…
[2026-05-13T14:01:08.021+0000] {docker.py:429} INFO - Row 34: link found, clicking…
[2026-05-13T14:01:17.228+0000] {docker.py:429} INFO - Row 35: link found, clicking…
[2026-05-13T14:01:23.756+0000] {docker.py:429} INFO - Row 36: link found, clicking…
