[2026-05-14T07:01:37.992+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-13T00:00:00+00:00 [queued]>
[2026-05-14T07:01:38.042+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-13T00:00:00+00:00 [queued]>
[2026-05-14T07:01:38.046+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-05-14T07:01:38.280+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-05-13 00:00:00+00:00
[2026-05-14T07:01:38.308+0000] {standard_task_runner.py:60} INFO - Started process 64 to run task
[2026-05-14T07:01:38.349+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'scheduled__2026-05-13T00:00:00+00:00', '--job-id', '29', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmpvgw81zka']
[2026-05-14T07:01:38.363+0000] {standard_task_runner.py:88} INFO - Job 29: Subtask run_inegi_playwright
[2026-05-14T07:01:38.906+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-13T00:00:00+00:00 [running]> on host ab149d976c2e
[2026-05-14T07:01:41.960+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-05-13T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-05-13T00:00:00+00:00'
[2026-05-14T07:01:42.287+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-05-14T07:03:03.933+0000] {docker.py:429} INFO - The page is opening...
[2026-05-14T07:03:17.537+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-05-14T07:03:24.526+0000] {docker.py:429} INFO - Total rows: 132
[2026-05-14T07:03:24.710+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-05-14T07:03:25.011+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-05-14T07:03:36.202+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-05-14T07:03:47.209+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-05-14T07:03:54.504+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-05-14T07:03:58.909+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-05-14T07:04:04.691+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-05-14T07:04:11.121+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-05-14T07:04:22.216+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-05-14T07:04:29.163+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-05-14T07:04:33.811+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-05-14T07:04:40.543+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-05-14T07:04:44.866+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-05-14T07:04:51.835+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-05-14T07:04:57.995+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-05-14T07:05:03.124+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-05-14T07:05:10.077+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-05-14T07:05:17.465+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-05-14T07:05:22.576+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-05-14T07:05:28.354+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-05-14T07:05:33.448+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-05-14T07:05:41.895+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-05-14T07:05:53.914+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-05-14T07:05:58.802+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-05-14T07:06:06.249+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-05-14T07:06:25.769+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-05-14T07:06:32.994+0000] {docker.py:429} INFO - Row 26: link found, clicking…
[2026-05-14T07:06:38.239+0000] {docker.py:429} INFO - Row 27: link found, clicking…
[2026-05-14T07:06:44.902+0000] {docker.py:429} INFO - Row 28: link found, clicking…
[2026-05-14T07:06:51.524+0000] {docker.py:429} INFO - Row 29: link found, clicking…
[2026-05-14T07:06:58.449+0000] {docker.py:429} INFO - Row 30: link found, clicking…
[2026-05-14T07:07:10.566+0000] {docker.py:429} INFO - Row 31: link found, clicking…
[2026-05-14T07:07:21.857+0000] {docker.py:429} INFO - Row 32: link found, clicking…
[2026-05-14T07:07:26.996+0000] {docker.py:429} INFO - Row 33: link found, clicking…
[2026-05-14T07:07:34.555+0000] {docker.py:429} INFO - Row 34: link found, clicking…
[2026-05-14T07:07:39.915+0000] {docker.py:429} INFO - Row 35: link found, clicking…
[2026-05-14T07:07:46.389+0000] {docker.py:429} INFO - Row 36: link found, clicking…
[2026-05-14T07:07:53.553+0000] {docker.py:429} INFO - Row 37: link found, clicking…
[2026-05-14T07:07:58.400+0000] {docker.py:429} INFO - Row 38: link found, clicking…
[2026-05-14T07:08:05.552+0000] {docker.py:429} INFO - Row 39: link found, clicking…
[2026-05-14T07:08:14.252+0000] {docker.py:429} INFO - Row 40: link found, clicking…
[2026-05-14T07:08:19.546+0000] {docker.py:429} INFO - Row 41: link found, clicking…
[2026-05-14T07:08:26.071+0000] {docker.py:429} INFO - Row 42: link found, clicking…
[2026-05-14T07:08:32.859+0000] {docker.py:429} INFO - Row 43: link found, clicking…
[2026-05-14T07:08:37.860+0000] {docker.py:429} INFO - Row 44: link found, clicking…
[2026-05-14T07:08:44.430+0000] {docker.py:429} INFO - Row 45: link found, clicking…
