[2026-05-15T07:03:36.394+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-14T00:00:00+00:00 [queued]>
[2026-05-15T07:03:36.494+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-14T00:00:00+00:00 [queued]>
[2026-05-15T07:03:36.495+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-05-15T07:03:37.350+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-05-14 00:00:00+00:00
[2026-05-15T07:03:37.532+0000] {standard_task_runner.py:60} INFO - Started process 144 to run task
[2026-05-15T07:03:37.667+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'scheduled__2026-05-14T00:00:00+00:00', '--job-id', '23', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmpobs5f43d']
[2026-05-15T07:03:37.827+0000] {standard_task_runner.py:88} INFO - Job 23: Subtask run_inegi_playwright
[2026-05-15T07:03:40.491+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-14T00:00:00+00:00 [running]> on host 26acb5ca21e7
[2026-05-15T07:03:42.230+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-05-14T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-05-14T00:00:00+00:00'
[2026-05-15T07:03:42.714+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-05-15T07:04:25.045+0000] {docker.py:429} INFO - The page is opening...
[2026-05-15T07:04:37.481+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-05-15T07:04:45.665+0000] {docker.py:429} INFO - Total rows: 132
[2026-05-15T07:04:45.948+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-05-15T07:04:46.103+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-05-15T07:04:51.854+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-05-15T07:04:58.088+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-05-15T07:05:02.335+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-05-15T07:05:08.026+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-05-15T07:05:11.741+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-05-15T07:05:17.226+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-05-15T07:05:22.513+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-05-15T07:05:27.624+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-05-15T07:05:32.537+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-05-15T07:05:38.041+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-05-15T07:05:42.227+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-05-15T07:05:50.377+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-05-15T07:06:02.808+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-05-15T07:06:08.710+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-05-15T07:06:14.363+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-05-15T07:06:18.513+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-05-15T07:06:26.132+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-05-15T07:06:35.163+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-05-15T07:06:44.871+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-05-15T07:06:53.552+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-05-15T07:07:03.135+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-05-15T07:07:14.005+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-05-15T07:07:23.610+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-05-15T07:07:38.203+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-05-15T07:07:49.822+0000] {docker.py:429} INFO - Row 26: link found, clicking…
[2026-05-15T07:08:01.560+0000] {docker.py:429} INFO - Row 27: link found, clicking…
[2026-05-15T07:08:10.429+0000] {docker.py:429} INFO - Row 28: link found, clicking…
[2026-05-15T07:08:18.956+0000] {docker.py:429} INFO - Row 29: link found, clicking…
[2026-05-15T07:08:30.477+0000] {docker.py:429} INFO - Row 30: link found, clicking…
[2026-05-15T07:08:54.684+0000] {docker.py:429} INFO - Row 31: link found, clicking…
[2026-05-15T07:09:20.556+0000] {docker.py:429} INFO - Row 32: link found, clicking…
[2026-05-15T07:09:35.977+0000] {docker.py:429} INFO - Row 33: link found, clicking…
[2026-05-15T07:09:52.471+0000] {docker.py:429} INFO - Row 34: link found, clicking…
[2026-05-15T07:10:15.084+0000] {docker.py:429} INFO - Row 35: link found, clicking…
[2026-05-15T07:10:27.287+0000] {docker.py:429} INFO - Row 36: link found, clicking…
[2026-05-15T07:10:39.202+0000] {docker.py:429} INFO - Row 37: link found, clicking…
[2026-05-15T07:10:59.430+0000] {docker.py:429} INFO - Row 38: link found, clicking…
[2026-05-15T07:11:11.556+0000] {docker.py:429} INFO - Row 39: link found, clicking…
[2026-05-15T07:11:22.248+0000] {docker.py:429} INFO - Row 40: link found, clicking…
