[2026-05-21T08:19:45.757+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-20T00:00:00+00:00 [queued]>
[2026-05-21T08:19:45.996+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-20T00:00:00+00:00 [queued]>
[2026-05-21T08:19:46.090+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-05-21T08:19:46.483+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-05-20 00:00:00+00:00
[2026-05-21T08:19:46.628+0000] {standard_task_runner.py:60} INFO - Started process 76 to run task
[2026-05-21T08:19:46.898+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'scheduled__2026-05-20T00:00:00+00:00', '--job-id', '108', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmpg1sl3qdh']
[2026-05-21T08:19:47.118+0000] {standard_task_runner.py:88} INFO - Job 108: Subtask run_inegi_playwright
[2026-05-21T08:19:58.639+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-20T00:00:00+00:00 [running]> on host f39b18a112ca
[2026-05-21T08:20:04.028+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-05-20T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-05-20T00:00:00+00:00'
[2026-05-21T08:20:07.332+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-05-21T08:21:41.934+0000] {docker.py:429} INFO - The page is opening...
[2026-05-21T08:21:51.004+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-05-21T08:21:57.086+0000] {docker.py:429} INFO - Total rows: 132
[2026-05-21T08:21:57.223+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-05-21T08:21:57.616+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-05-21T08:22:03.570+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-05-21T08:22:10.508+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-05-21T08:22:22.215+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-05-21T08:22:27.949+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-05-21T08:22:31.334+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-05-21T08:22:38.182+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-05-21T08:22:42.153+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-05-21T08:22:45.744+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-05-21T08:22:53.617+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-05-21T08:23:02.613+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-05-21T08:23:08.135+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-05-21T08:23:13.521+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-05-21T08:23:17.591+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-05-21T08:23:23.466+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-05-21T08:23:28.317+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-05-21T08:23:36.192+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-05-21T08:23:44.522+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-05-21T08:23:52.099+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-05-21T08:24:00.509+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-05-21T08:24:06.087+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-05-21T08:24:13.729+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-05-21T08:24:28.268+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-05-21T08:24:37.014+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-05-21T08:24:48.493+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-05-21T08:24:57.342+0000] {docker.py:429} INFO - Row 26: link found, clicking…
[2026-05-21T08:25:07.154+0000] {docker.py:429} INFO - Row 27: link found, clicking…
[2026-05-21T08:25:20.286+0000] {docker.py:429} INFO - Row 28: link found, clicking…
[2026-05-21T08:25:29.503+0000] {docker.py:429} INFO - Row 29: link found, clicking…
[2026-05-21T08:25:38.325+0000] {docker.py:429} INFO - Row 30: link found, clicking…
[2026-05-21T08:25:45.841+0000] {docker.py:429} INFO - Row 31: link found, clicking…
[2026-05-21T08:25:51.049+0000] {docker.py:429} INFO - Row 32: link found, clicking…
[2026-05-21T08:25:58.734+0000] {docker.py:429} INFO - Row 33: link found, clicking…
[2026-05-21T08:26:06.173+0000] {docker.py:429} INFO - Row 34: link found, clicking…
[2026-05-21T08:26:15.270+0000] {docker.py:429} INFO - Row 35: link found, clicking…
[2026-05-21T08:26:24.797+0000] {docker.py:429} INFO - Row 36: link found, clicking…
[2026-05-21T08:26:31.786+0000] {docker.py:429} INFO - Row 37: link found, clicking…
[2026-05-21T08:26:42.506+0000] {docker.py:429} INFO - Row 38: link found, clicking…
[2026-05-21T08:26:50.772+0000] {docker.py:429} INFO - Row 39: link found, clicking…
[2026-05-21T08:26:59.197+0000] {docker.py:429} INFO - Row 40: link found, clicking…
[2026-05-21T08:27:07.281+0000] {docker.py:429} INFO - Row 41: link found, clicking…
[2026-05-21T08:27:13.822+0000] {docker.py:429} INFO - Row 42: link found, clicking…
[2026-05-21T08:27:20.782+0000] {docker.py:429} INFO - Row 43: link found, clicking…
[2026-05-21T08:27:24.360+0000] {docker.py:429} INFO - Row 44: link found, clicking…
[2026-05-21T08:27:32.227+0000] {docker.py:429} INFO - Row 45: link found, clicking…
[2026-05-21T08:27:47.022+0000] {docker.py:429} INFO - Row 46: link found, clicking…
[2026-05-21T08:27:53.456+0000] {docker.py:429} INFO - Row 47: link found, clicking…
[2026-05-21T08:28:04.236+0000] {docker.py:429} INFO - Row 48: link found, clicking…
[2026-05-21T08:28:17.345+0000] {docker.py:429} INFO - Row 49: link found, clicking…
[2026-05-21T08:28:25.988+0000] {docker.py:429} INFO - Row 50: link found, clicking…
[2026-05-21T08:28:30.961+0000] {docker.py:429} INFO - Row 51: link found, clicking…
[2026-05-21T08:28:40.148+0000] {docker.py:429} INFO - Row 52: link found, clicking…
[2026-05-21T08:28:46.890+0000] {docker.py:429} INFO - Row 53: link found, clicking…
[2026-05-21T08:28:53.340+0000] {docker.py:429} INFO - Row 54: link found, clicking…
[2026-05-21T08:28:56.955+0000] {docker.py:429} INFO - Row 55: link found, clicking…
[2026-05-21T08:29:02.001+0000] {docker.py:429} INFO - Row 56: link found, clicking…
[2026-05-21T08:29:03.258+0000] {docker.py:429} INFO - Row 57: link found, clicking…
[2026-05-21T08:29:05.639+0000] {docker.py:429} INFO - Row 58: link found, clicking…
[2026-05-21T08:29:08.107+0000] {docker.py:429} INFO - Row 59: link found, clicking…
[2026-05-21T08:29:10.961+0000] {docker.py:429} INFO - Row 60: link found, clicking…
[2026-05-21T08:29:34.832+0000] {docker.py:429} INFO - Row 61: link found, clicking…
[2026-05-21T08:29:46.852+0000] {docker.py:429} INFO - Row 62: link found, clicking…
[2026-05-21T08:29:55.906+0000] {docker.py:429} INFO - Row 63: link found, clicking…
[2026-05-21T08:30:02.122+0000] {docker.py:429} INFO - Row 64: link found, clicking…
[2026-05-21T08:30:10.941+0000] {docker.py:429} INFO - Row 65: link found, clicking…
[2026-05-21T08:30:17.869+0000] {docker.py:429} INFO - Row 66: link found, clicking…
