[2026-05-22T07:56:39.009+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-21T00:00:00+00:00 [queued]>
[2026-05-22T07:56:39.090+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-21T00:00:00+00:00 [queued]>
[2026-05-22T07:56:39.098+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-05-22T07:56:39.349+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-05-21 00:00:00+00:00
[2026-05-22T07:56:39.496+0000] {standard_task_runner.py:60} INFO - Started process 74 to run task
[2026-05-22T07:56:39.859+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'scheduled__2026-05-21T00:00:00+00:00', '--job-id', '178', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmpdrlol4go']
[2026-05-22T07:56:40.089+0000] {standard_task_runner.py:88} INFO - Job 178: Subtask run_inegi_playwright
[2026-05-22T07:56:40.833+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-21T00:00:00+00:00 [running]> on host f39b18a112ca
[2026-05-22T07:56:42.396+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-05-21T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-05-21T00:00:00+00:00'
[2026-05-22T07:56:43.002+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-05-22T07:57:39.281+0000] {docker.py:429} INFO - The page is opening...
[2026-05-22T07:57:49.821+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-05-22T07:57:56.427+0000] {docker.py:429} INFO - Total rows: 132
[2026-05-22T07:57:56.546+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-05-22T07:57:56.809+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-05-22T07:58:03.045+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-05-22T07:58:16.712+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-05-22T07:58:26.497+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-05-22T07:58:35.983+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-05-22T07:58:40.429+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-05-22T07:58:46.105+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-05-22T07:58:52.867+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-05-22T07:59:00.558+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-05-22T07:59:07.432+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-05-22T07:59:15.169+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-05-22T07:59:20.765+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-05-22T07:59:26.668+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-05-22T07:59:30.611+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-05-22T07:59:37.793+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-05-22T07:59:45.209+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-05-22T07:59:50.685+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-05-22T07:59:56.483+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-05-22T08:00:00.422+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-05-22T08:00:06.622+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-05-22T08:00:12.696+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-05-22T08:00:19.381+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-05-22T08:00:24.972+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-05-22T08:00:31.127+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-05-22T08:00:36.848+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-05-22T08:00:41.277+0000] {docker.py:429} INFO - Row 26: link found, clicking…
