[2026-05-29T11:19:19.936+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-28T00:00:00+00:00 [queued]>
[2026-05-29T11:19:20.177+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-28T00:00:00+00:00 [queued]>
[2026-05-29T11:19:20.190+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-05-29T11:19:20.545+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-05-28 00:00:00+00:00
[2026-05-29T11:19:20.868+0000] {standard_task_runner.py:60} INFO - Started process 74 to run task
[2026-05-29T11:19:21.010+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'scheduled__2026-05-28T00:00:00+00:00', '--job-id', '303', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmpbsif5i5u']
[2026-05-29T11:19:21.283+0000] {standard_task_runner.py:88} INFO - Job 303: Subtask run_inegi_playwright
[2026-05-29T11:19:22.738+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-05-28T00:00:00+00:00 [running]> on host f39b18a112ca
[2026-05-29T11:19:25.515+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-05-28T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-05-28T00:00:00+00:00'
[2026-05-29T11:19:26.525+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-05-29T11:20:38.342+0000] {docker.py:429} INFO - The page is opening...
[2026-05-29T11:20:53.847+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-05-29T11:21:07.311+0000] {docker.py:429} INFO - Total rows: 132
[2026-05-29T11:21:07.599+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-05-29T11:21:08.309+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-05-29T11:21:27.654+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-05-29T11:21:36.757+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-05-29T11:21:45.314+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-05-29T11:21:59.028+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-05-29T11:22:22.518+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-05-29T11:22:33.163+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-05-29T11:22:45.153+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-05-29T11:22:54.240+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-05-29T11:23:00.791+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-05-29T11:23:12.856+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-05-29T11:23:20.528+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-05-29T11:23:26.833+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-05-29T11:23:35.107+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-05-29T11:23:44.369+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-05-29T11:23:52.980+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-05-29T11:24:00.222+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-05-29T11:24:08.879+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-05-29T11:24:15.994+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-05-29T11:24:23.059+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-05-29T11:24:32.112+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-05-29T11:24:42.287+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-05-29T11:24:51.872+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-05-29T11:25:01.761+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-05-29T11:25:08.817+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-05-29T11:25:14.466+0000] {docker.py:429} INFO - Row 26: link found, clicking…
[2026-05-29T11:25:20.670+0000] {docker.py:429} INFO - Row 27: link found, clicking…
[2026-05-29T11:25:24.209+0000] {docker.py:429} INFO - Row 28: link found, clicking…
[2026-05-29T11:25:29.565+0000] {docker.py:429} INFO - Row 29: link found, clicking…
[2026-05-29T11:25:34.619+0000] {docker.py:429} INFO - Row 30: link found, clicking…
[2026-05-29T11:25:48.417+0000] {docker.py:429} INFO - Row 31: link found, clicking…
[2026-05-29T11:25:55.398+0000] {docker.py:429} INFO - Row 32: link found, clicking…
[2026-05-29T11:25:59.680+0000] {docker.py:429} INFO - Row 33: link found, clicking…
[2026-05-29T11:26:07.504+0000] {docker.py:429} INFO - Row 34: link found, clicking…
