[2026-06-02T11:52:09.720+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-06-01T00:00:00+00:00 [queued]>
[2026-06-02T11:52:09.808+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-06-01T00:00:00+00:00 [queued]>
[2026-06-02T11:52:09.826+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-06-02T11:52:10.653+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-06-01 00:00:00+00:00
[2026-06-02T11:52:10.739+0000] {standard_task_runner.py:60} INFO - Started process 74 to run task
[2026-06-02T11:52:10.774+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'scheduled__2026-06-01T00:00:00+00:00', '--job-id', '340', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmpd5ch_01c']
[2026-06-02T11:52:10.814+0000] {standard_task_runner.py:88} INFO - Job 340: Subtask run_inegi_playwright
[2026-06-02T11:52:12.244+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-06-01T00:00:00+00:00 [running]> on host f39b18a112ca
[2026-06-02T11:52:14.200+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-06-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-01T00:00:00+00:00'
[2026-06-02T11:52:15.577+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-06-02T11:53:25.664+0000] {docker.py:429} INFO - The page is opening...
[2026-06-02T11:53:39.371+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-06-02T11:53:55.955+0000] {docker.py:429} INFO - Total rows: 132
[2026-06-02T11:53:56.376+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-06-02T11:53:56.458+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-06-02T11:54:03.505+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-06-02T11:54:07.185+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-06-02T11:54:17.055+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-06-02T11:54:43.078+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-06-02T11:54:56.548+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-06-02T11:55:15.954+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-06-02T11:55:34.510+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-06-02T11:55:49.255+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-06-02T11:56:00.589+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-06-02T11:56:10.928+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-06-02T11:56:22.419+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-06-02T11:56:31.716+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-06-02T11:56:44.089+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-06-02T11:56:55.171+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-06-02T11:57:06.820+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-06-02T11:57:17.147+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-06-02T11:57:31.401+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-06-02T11:57:41.821+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-06-02T11:57:54.654+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-06-02T11:58:04.591+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-06-02T11:58:10.036+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-06-02T11:58:17.001+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-06-02T11:58:25.831+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-06-02T11:58:40.846+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-06-02T11:58:54.893+0000] {docker.py:429} INFO - Row 26: link found, clicking…
