[2026-06-03T06:58:59.884+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-06-02T00:00:00+00:00 [queued]>
[2026-06-03T06:59:00.009+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-06-02T00:00:00+00:00 [queued]>
[2026-06-03T06:59:00.032+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-06-03T06:59:00.679+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-06-02 00:00:00+00:00
[2026-06-03T06:59:00.883+0000] {standard_task_runner.py:60} INFO - Started process 66 to run task
[2026-06-03T06:59:01.028+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'scheduled__2026-06-02T00:00:00+00:00', '--job-id', '358', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmpo8myc013']
[2026-06-03T06:59:01.161+0000] {standard_task_runner.py:88} INFO - Job 358: Subtask run_inegi_playwright
[2026-06-03T06:59:05.865+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-06-02T00:00:00+00:00 [running]> on host f39b18a112ca
[2026-06-03T06:59:15.579+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-06-02T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-02T00:00:00+00:00'
[2026-06-03T06:59:17.835+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-06-03T07:02:29.704+0000] {docker.py:429} INFO - The page is opening...
[2026-06-03T07:03:00.803+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-06-03T07:03:09.732+0000] {docker.py:429} INFO - Total rows: 132
[2026-06-03T07:03:10.630+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-06-03T07:03:10.940+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-06-03T07:03:19.157+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-06-03T07:03:24.866+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-06-03T07:03:29.076+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-06-03T07:03:34.517+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-06-03T07:03:38.651+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-06-03T07:03:44.052+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-06-03T07:03:58.632+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-06-03T07:04:13.135+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-06-03T07:04:25.376+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-06-03T07:04:29.647+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-06-03T07:04:35.703+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-06-03T07:04:41.332+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-06-03T07:04:45.709+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-06-03T07:04:54.215+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-06-03T07:05:01.500+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-06-03T07:05:07.246+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-06-03T07:05:16.248+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-06-03T07:05:20.778+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-06-03T07:05:30.163+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-06-03T07:05:35.281+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-06-03T07:05:39.828+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-06-03T07:05:46.856+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-06-03T07:05:54.843+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-06-03T07:05:59.627+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-06-03T07:06:06.482+0000] {docker.py:429} INFO - Row 26: link found, clicking…
