[2026-06-08T14:15:54.497+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-06-07T00:00:00+00:00 [queued]>
[2026-06-08T14:15:54.718+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-06-07T00:00:00+00:00 [queued]>
[2026-06-08T14:15:54.796+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-06-08T14:15:55.086+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-06-07 00:00:00+00:00
[2026-06-08T14:15:55.314+0000] {standard_task_runner.py:60} INFO - Started process 73 to run task
[2026-06-08T14:15:55.615+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'scheduled__2026-06-07T00:00:00+00:00', '--job-id', '421', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmpmbe2w29n']
[2026-06-08T14:15:55.869+0000] {standard_task_runner.py:88} INFO - Job 421: Subtask run_inegi_playwright
[2026-06-08T14:15:57.852+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-06-07T00:00:00+00:00 [running]> on host f39b18a112ca
[2026-06-08T14:16:00.118+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-06-07T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-07T00:00:00+00:00'
[2026-06-08T14:16:03.496+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-06-08T14:17:00.782+0000] {docker.py:429} INFO - The page is opening...
[2026-06-08T14:17:16.021+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-06-08T14:17:25.474+0000] {docker.py:429} INFO - Total rows: 133
[2026-06-08T14:17:25.572+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-06-08T14:17:25.784+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-06-08T14:17:34.535+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-06-08T14:17:48.826+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-06-08T14:18:00.155+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-06-08T14:18:07.679+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-06-08T14:18:16.048+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-06-08T14:18:21.671+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-06-08T14:18:33.689+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-06-08T14:18:51.336+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-06-08T14:19:03.288+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-06-08T14:19:21.257+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-06-08T14:19:33.903+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-06-08T14:19:47.936+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-06-08T14:19:55.111+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-06-08T14:20:07.047+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-06-08T14:20:19.382+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-06-08T14:20:31.044+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-06-08T14:20:45.195+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-06-08T14:20:56.569+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-06-08T14:21:10.767+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-06-08T14:21:25.020+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-06-08T14:21:41.632+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-06-08T14:22:04.266+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-06-08T14:22:19.786+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-06-08T14:22:36.336+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-06-08T14:23:00.725+0000] {docker.py:429} INFO - Row 26: link found, clicking…
