[2026-06-11T08:38:49.734+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-06-10T00:00:00+00:00 [queued]>
[2026-06-11T08:38:50.510+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-06-10T00:00:00+00:00 [queued]>
[2026-06-11T08:38:50.625+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-06-11T08:38:52.148+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-06-10 00:00:00+00:00
[2026-06-11T08:38:52.471+0000] {standard_task_runner.py:60} INFO - Started process 62 to run task
[2026-06-11T08:38:52.919+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'scheduled__2026-06-10T00:00:00+00:00', '--job-id', '436', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmp31t_spf1']
[2026-06-11T08:38:53.067+0000] {standard_task_runner.py:88} INFO - Job 436: Subtask run_inegi_playwright
[2026-06-11T08:38:59.858+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-06-10T00:00:00+00:00 [running]> on host f39b18a112ca
[2026-06-11T08:39:09.825+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-06-10T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-10T00:00:00+00:00'
[2026-06-11T08:39:11.573+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-06-11T08:41:17.611+0000] {docker.py:429} INFO - The page is opening...
[2026-06-11T08:41:36.372+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-06-11T08:41:45.825+0000] {docker.py:429} INFO - Total rows: 133
[2026-06-11T08:41:45.961+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-06-11T08:41:46.273+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-06-11T08:42:10.642+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-06-11T08:42:18.392+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-06-11T08:42:27.042+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-06-11T08:42:32.283+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-06-11T08:42:41.276+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-06-11T08:42:49.277+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-06-11T08:43:00.360+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-06-11T08:43:10.126+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-06-11T08:43:21.005+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-06-11T08:43:27.392+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-06-11T08:43:42.471+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-06-11T08:43:52.087+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-06-11T08:44:03.473+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-06-11T08:44:11.948+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-06-11T08:44:25.216+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-06-11T08:44:36.527+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-06-11T08:44:42.829+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-06-11T08:44:54.877+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-06-11T08:45:03.486+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-06-11T08:45:21.077+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-06-11T08:45:39.569+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-06-11T08:45:53.041+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-06-11T08:46:08.106+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-06-11T08:46:17.327+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-06-11T08:46:30.859+0000] {docker.py:429} INFO - Row 26: link found, clicking…
[2026-06-11T08:46:43.823+0000] {docker.py:429} INFO - Row 27: link found, clicking…
[2026-06-11T08:46:50.349+0000] {docker.py:429} INFO - Row 28: link found, clicking…
[2026-06-11T08:47:00.502+0000] {docker.py:429} INFO - Row 29: link found, clicking…
[2026-06-11T08:47:07.082+0000] {docker.py:429} INFO - Row 30: link found, clicking…
[2026-06-11T08:47:15.407+0000] {docker.py:429} INFO - Row 31: link found, clicking…
[2026-06-11T08:47:25.569+0000] {docker.py:429} INFO - Row 32: link found, clicking…
[2026-06-11T08:48:03.458+0000] {docker.py:429} INFO - Row 33: link found, clicking…
[2026-06-11T08:48:15.674+0000] {docker.py:429} INFO - Row 34: link found, clicking…
[2026-06-11T08:48:23.783+0000] {docker.py:429} INFO - Row 35: link found, clicking…
[2026-06-11T08:48:28.771+0000] {docker.py:429} INFO - Row 36: link found, clicking…
[2026-06-11T08:48:35.831+0000] {docker.py:429} INFO - Row 37: link found, clicking…
[2026-06-11T08:48:43.031+0000] {docker.py:429} INFO - Row 38: link found, clicking…
[2026-06-11T08:48:50.854+0000] {docker.py:429} INFO - Row 39: link found, clicking…
[2026-06-11T08:48:56.107+0000] {docker.py:429} INFO - Row 40: link found, clicking…
[2026-06-11T08:49:03.384+0000] {docker.py:429} INFO - Row 41: link found, clicking…
[2026-06-11T08:49:09.468+0000] {docker.py:429} INFO - Row 42: link found, clicking…
[2026-06-11T08:49:17.007+0000] {docker.py:429} INFO - Row 43: link found, clicking…
[2026-06-11T08:49:27.923+0000] {docker.py:429} INFO - Row 44: link found, clicking…
[2026-06-11T08:49:43.132+0000] {docker.py:429} INFO - Row 45: link found, clicking…
[2026-06-11T08:49:54.383+0000] {docker.py:429} INFO - Row 46: link found, clicking…
[2026-06-11T08:50:02.735+0000] {docker.py:429} INFO - Row 47: link found, clicking…
[2026-06-11T08:50:12.514+0000] {docker.py:429} INFO - Row 48: link found, clicking…
[2026-06-11T08:50:26.121+0000] {docker.py:429} INFO - Row 49: link found, clicking…
[2026-06-11T08:50:37.134+0000] {docker.py:429} INFO - Row 50: link found, clicking…
[2026-06-11T08:50:44.575+0000] {docker.py:429} INFO - Row 51: link found, clicking…
[2026-06-11T08:50:55.565+0000] {docker.py:429} INFO - Row 52: link found, clicking…
[2026-06-11T08:51:07.236+0000] {docker.py:429} INFO - Row 53: link found, clicking…
[2026-06-11T08:51:15.677+0000] {docker.py:429} INFO - Row 54: link found, clicking…
[2026-06-11T08:51:27.046+0000] {docker.py:429} INFO - Row 55: link found, clicking…
[2026-06-11T08:51:38.532+0000] {docker.py:429} INFO - Row 56: link found, clicking…
[2026-06-11T08:51:50.887+0000] {docker.py:429} INFO - Row 57: link found, clicking…
[2026-06-11T08:51:55.758+0000] {docker.py:429} INFO - Row 58: link found, clicking…
[2026-06-11T08:52:01.120+0000] {docker.py:429} INFO - Row 59: link found, clicking…
[2026-06-11T08:52:04.770+0000] {docker.py:429} INFO - Row 60: link found, clicking…
[2026-06-11T08:52:11.830+0000] {docker.py:429} INFO - Row 61: link found, clicking…
[2026-06-11T08:52:18.343+0000] {docker.py:429} INFO - Row 62: link found, clicking…
[2026-06-11T08:52:22.253+0000] {docker.py:429} INFO - Row 63: link found, clicking…
[2026-06-11T08:52:29.566+0000] {docker.py:429} INFO - Row 64: link found, clicking…
[2026-06-11T08:52:34.856+0000] {docker.py:429} INFO - Row 65: link found, clicking…
[2026-06-11T08:52:38.720+0000] {docker.py:429} INFO - Row 66: link found, clicking…
[2026-06-11T08:52:42.086+0000] {docker.py:429} INFO - Row 67: link found, clicking…
[2026-06-11T08:52:47.459+0000] {docker.py:429} INFO - Row 68: link found, clicking…
[2026-06-11T08:52:53.534+0000] {docker.py:429} INFO - Row 69: link found, clicking…
[2026-06-11T08:52:57.319+0000] {docker.py:429} INFO - Row 70: link found, clicking…
[2026-06-11T08:53:03.810+0000] {docker.py:429} INFO - Row 71: link found, clicking…
[2026-06-11T08:53:08.356+0000] {docker.py:429} INFO - Row 72: link found, clicking…
[2026-06-11T08:53:11.866+0000] {docker.py:429} INFO - Row 73: link found, clicking…
[2026-06-11T08:53:17.238+0000] {docker.py:429} INFO - Row 74: link found, clicking…
[2026-06-11T08:53:19.671+0000] {docker.py:429} INFO - Row 75: link found, clicking…
[2026-06-11T08:53:24.631+0000] {docker.py:429} INFO - Row 76: link found, clicking…
[2026-06-11T08:53:28.479+0000] {docker.py:429} INFO - Row 77: link found, clicking…
[2026-06-11T08:53:31.827+0000] {docker.py:429} INFO - Row 78: link found, clicking…
[2026-06-11T08:53:40.072+0000] {docker.py:429} INFO - Row 79: link found, clicking…
[2026-06-11T08:53:43.993+0000] {docker.py:429} INFO - Row 80: link found, clicking…
[2026-06-11T08:53:47.069+0000] {docker.py:429} INFO - Row 81: link found, clicking…
[2026-06-11T08:53:50.044+0000] {docker.py:429} INFO - Row 82: link found, clicking…
[2026-06-11T08:53:59.774+0000] {docker.py:429} INFO - Row 83: link found, clicking…
[2026-06-11T08:54:03.326+0000] {docker.py:429} INFO - Row 84: link found, clicking…
[2026-06-11T08:54:06.267+0000] {docker.py:429} INFO - Row 85: link found, clicking…
[2026-06-11T08:54:09.666+0000] {docker.py:429} INFO - Row 86: link found, clicking…
[2026-06-11T08:54:13.817+0000] {docker.py:429} INFO - Row 87: link found, clicking…
[2026-06-11T08:54:16.384+0000] {docker.py:429} INFO - Row 88: link found, clicking…
[2026-06-11T08:54:21.487+0000] {docker.py:429} INFO - Row 89: link found, clicking…
[2026-06-11T08:54:24.032+0000] {docker.py:429} INFO - Row 90: link found, clicking…
[2026-06-11T08:54:27.096+0000] {docker.py:429} INFO - Row 91: link found, clicking…
[2026-06-11T08:54:30.800+0000] {docker.py:429} INFO - Row 92: link found, clicking…
[2026-06-11T08:54:34.799+0000] {docker.py:429} INFO - Row 93: link found, clicking…
[2026-06-11T08:54:38.665+0000] {docker.py:429} INFO - Row 94: link found, clicking…
[2026-06-11T08:54:41.951+0000] {docker.py:429} INFO - Row 95: link found, clicking…
[2026-06-11T08:54:45.746+0000] {docker.py:429} INFO - Row 96: link found, clicking…
[2026-06-11T08:54:49.589+0000] {docker.py:429} INFO - Row 97: link found, clicking…
[2026-06-11T08:54:52.164+0000] {docker.py:429} INFO - Row 98: link found, clicking…
[2026-06-11T08:54:56.386+0000] {docker.py:429} INFO - Row 99: link found, clicking…
[2026-06-11T08:55:02.479+0000] {docker.py:429} INFO - Row 100: link found, clicking…
[2026-06-11T08:55:06.322+0000] {docker.py:429} INFO - Row 101: link found, clicking…
[2026-06-11T08:55:13.003+0000] {docker.py:429} INFO - Row 102: link found, clicking…
[2026-06-11T08:55:19.821+0000] {docker.py:429} INFO - Row 103: link found, clicking…
[2026-06-11T08:55:31.141+0000] {docker.py:429} INFO - Row 104: link found, clicking…
[2026-06-11T08:55:37.383+0000] {docker.py:429} INFO - Row 105: link found, clicking…
[2026-06-11T08:55:44.725+0000] {docker.py:429} INFO - Row 106: link found, clicking…
[2026-06-11T08:55:51.824+0000] {docker.py:429} INFO - Row 107: link found, clicking…
[2026-06-11T08:55:57.956+0000] {docker.py:429} INFO - Row 108: link found, clicking…
[2026-06-11T08:56:07.297+0000] {docker.py:429} INFO - Row 109: link found, clicking…
[2026-06-11T08:56:17.502+0000] {docker.py:429} INFO - Row 110: link found, clicking…
[2026-06-11T08:56:20.876+0000] {docker.py:429} INFO - Row 111: link found, clicking…
[2026-06-11T08:56:26.383+0000] {docker.py:429} INFO - Row 112: link found, clicking…
[2026-06-11T08:56:31.196+0000] {docker.py:429} INFO - Row 113: link found, clicking…
[2026-06-11T08:56:37.306+0000] {docker.py:429} INFO - Row 114: link found, clicking…
[2026-06-11T08:56:41.939+0000] {docker.py:429} INFO - Row 115: link found, clicking…
[2026-06-11T08:56:47.248+0000] {docker.py:429} INFO - Row 116: link found, clicking…
[2026-06-11T08:56:54.153+0000] {docker.py:429} INFO - Row 117: link found, clicking…
[2026-06-11T08:57:03.749+0000] {docker.py:429} INFO - Row 118: link found, clicking…
