[2026-06-12T07:43:25.187+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-06-11T00:00:00+00:00 [queued]>
[2026-06-12T07:43:25.531+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-06-11T00:00:00+00:00 [queued]>
[2026-06-12T07:43:25.543+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-06-12T07:43:26.152+0000] {taskinstance.py:2214} INFO - Executing <Task(DockerOperator): run_inegi_playwright> on 2026-06-11 00:00:00+00:00
[2026-06-12T07:43:26.641+0000] {standard_task_runner.py:60} INFO - Started process 73 to run task
[2026-06-12T07:43:26.728+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'inegi_playwright', 'run_inegi_playwright', 'scheduled__2026-06-11T00:00:00+00:00', '--job-id', '539', '--raw', '--subdir', 'DAGS_FOLDER/inegi_playwright_dag.py', '--cfg-path', '/tmp/tmp6qzeqxxp']
[2026-06-12T07:43:26.795+0000] {standard_task_runner.py:88} INFO - Job 539: Subtask run_inegi_playwright
[2026-06-12T07:43:28.882+0000] {task_command.py:423} INFO - Running <TaskInstance: inegi_playwright.run_inegi_playwright scheduled__2026-06-11T00:00:00+00:00 [running]> on host f39b18a112ca
[2026-06-12T07:43:42.218+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='inegi_playwright' AIRFLOW_CTX_TASK_ID='run_inegi_playwright' AIRFLOW_CTX_EXECUTION_DATE='2026-06-11T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-11T00:00:00+00:00'
[2026-06-12T07:43:46.310+0000] {docker.py:359} INFO - Starting docker container from image inegi-playwright:v1
[2026-06-12T07:44:47.556+0000] {docker.py:429} INFO - The page is opening...
[2026-06-12T07:44:55.737+0000] {docker.py:429} INFO - iframe found: https://www3.inegi.org.mx/sistemas/ci/relps/
[2026-06-12T07:45:06.515+0000] {docker.py:429} INFO - Total rows: 133
[2026-06-12T07:45:06.749+0000] {docker.py:429} INFO - Row 0: no column, skipping
[2026-06-12T07:45:07.266+0000] {docker.py:429} INFO - Row 1: link found, clicking…
[2026-06-12T07:45:29.268+0000] {docker.py:429} INFO - Row 2: link found, clicking…
[2026-06-12T07:45:43.029+0000] {docker.py:429} INFO - Row 3: link found, clicking…
[2026-06-12T07:45:49.405+0000] {docker.py:429} INFO - Row 4: link found, clicking…
[2026-06-12T07:45:56.118+0000] {docker.py:429} INFO - Row 5: link found, clicking…
[2026-06-12T07:46:07.831+0000] {docker.py:429} INFO - Row 6: link found, clicking…
[2026-06-12T07:46:14.540+0000] {docker.py:429} INFO - Row 7: link found, clicking…
[2026-06-12T07:46:21.138+0000] {docker.py:429} INFO - Row 8: link found, clicking…
[2026-06-12T07:46:25.935+0000] {docker.py:429} INFO - Row 9: link found, clicking…
[2026-06-12T07:46:30.397+0000] {docker.py:429} INFO - Row 10: link found, clicking…
[2026-06-12T07:46:36.499+0000] {docker.py:429} INFO - Row 11: link found, clicking…
[2026-06-12T07:46:39.034+0000] {docker.py:429} INFO - Row 12: link found, clicking…
[2026-06-12T07:46:42.185+0000] {docker.py:429} INFO - Row 13: link found, clicking…
[2026-06-12T07:46:45.944+0000] {docker.py:429} INFO - Row 14: link found, clicking…
[2026-06-12T07:46:50.270+0000] {docker.py:429} INFO - Row 15: link found, clicking…
[2026-06-12T07:46:54.727+0000] {docker.py:429} INFO - Row 16: link found, clicking…
[2026-06-12T07:47:03.456+0000] {docker.py:429} INFO - Row 17: link found, clicking…
[2026-06-12T07:47:09.025+0000] {docker.py:429} INFO - Row 18: link found, clicking…
[2026-06-12T07:47:14.083+0000] {docker.py:429} INFO - Row 19: link found, clicking…
[2026-06-12T07:47:22.359+0000] {docker.py:429} INFO - Row 20: link found, clicking…
[2026-06-12T07:47:30.008+0000] {docker.py:429} INFO - Row 21: link found, clicking…
[2026-06-12T07:47:39.823+0000] {docker.py:429} INFO - Row 22: link found, clicking…
[2026-06-12T07:47:47.944+0000] {docker.py:429} INFO - Row 23: link found, clicking…
[2026-06-12T07:47:55.897+0000] {docker.py:429} INFO - Row 24: link found, clicking…
[2026-06-12T07:48:02.805+0000] {docker.py:429} INFO - Row 25: link found, clicking…
[2026-06-12T07:48:11.345+0000] {docker.py:429} INFO - Row 26: link found, clicking…
