[2026-05-14T08:47:51.418+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: merge_all_scrapers.merge_all_outputs manual__2026-05-14T08:47:43.863714+00:00 [queued]>
[2026-05-14T08:47:51.441+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: merge_all_scrapers.merge_all_outputs manual__2026-05-14T08:47:43.863714+00:00 [queued]>
[2026-05-14T08:47:51.442+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2026-05-14T08:47:51.477+0000] {taskinstance.py:2214} INFO - Executing <Task(PythonOperator): merge_all_outputs> on 2026-05-14 08:47:43.863714+00:00
[2026-05-14T08:47:51.488+0000] {standard_task_runner.py:60} INFO - Started process 2561 to run task
[2026-05-14T08:47:51.500+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'merge_all_scrapers', 'merge_all_outputs', 'manual__2026-05-14T08:47:43.863714+00:00', '--job-id', '48', '--raw', '--subdir', 'DAGS_FOLDER/merge_dag.py', '--cfg-path', '/tmp/tmp891q782y']
[2026-05-14T08:47:51.510+0000] {standard_task_runner.py:88} INFO - Job 48: Subtask merge_all_outputs
[2026-05-14T08:47:51.747+0000] {task_command.py:423} INFO - Running <TaskInstance: merge_all_scrapers.merge_all_outputs manual__2026-05-14T08:47:43.863714+00:00 [running]> on host ab149d976c2e
[2026-05-14T08:47:52.031+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='merge_all_scrapers' AIRFLOW_CTX_TASK_ID='merge_all_outputs' AIRFLOW_CTX_EXECUTION_DATE='2026-05-14T08:47:43.863714+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-14T08:47:43.863714+00:00'
[2026-05-14T08:47:52.040+0000] {logging_mixin.py:188} INFO - 📂 DATA PATH: /opt/***/data
[2026-05-14T08:47:52.045+0000] {logging_mixin.py:188} INFO - 
📄 READING JSON: eu_fsf_sanctions.json
[2026-05-14T08:47:52.150+0000] {logging_mixin.py:188} INFO - 
📄 READING JSON: inegi_playwright.json
[2026-05-14T08:47:52.156+0000] {logging_mixin.py:188} INFO - 
📄 READING JSON: inegi_scraper.json
[2026-05-14T08:47:52.162+0000] {logging_mixin.py:188} INFO - 
🗄️ READING DB: kaldata.db
[2026-05-14T08:48:00.247+0000] {logging_mixin.py:188} INFO - 
🗄️ READING DB: telegraph.db
[2026-05-14T08:48:00.348+0000] {logging_mixin.py:188} INFO - 
📦 TOTAL BEFORE DEDUP: 6722
[2026-05-14T08:48:00.405+0000] {logging_mixin.py:188} INFO - 🧹 AFTER DEDUP: 6718
[2026-05-14T08:48:00.460+0000] {base.py:83} INFO - Using connection ID 'postgres_default' for task execution.
[2026-05-14T08:48:00.490+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: relation "raw_data" does not exist
LINE 2:                     INSERT INTO raw_data (data, source)
                                        ^
[2026-05-14T08:48:00.495+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.498+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.500+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.503+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.506+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.508+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.510+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.513+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.515+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.517+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.520+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.522+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.524+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.526+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.528+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.530+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.532+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.535+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.537+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.539+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.541+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.543+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
